name,ring,quadrant,isNew,description
GraphQL,Adopt,Languages and Frameworks,false,"GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data. GraphQL provides a complete and understandable description of the data in your API, gives clients the power to ask for exactly what they need and nothing more, makes it easier to evolve APIs over time, and enables powerful developer tools."
Mirage JS,Adopt,Tools,false,"API mocking library, no need of backend services, mock data within components."
OData,Hold,Languages and Frameworks,false,Open Data Protocol (OData) is an open protocol that allows the creation and consumption of queryable and interoperable REST APIs in a simple and standard way. Microsoft initiated OData in 2007
Postman,Adopt,Tools,false,Postman is a REST API testing tool.
ASP.NET for frontend,Hold,Platforms,false,"ASP.NET is an open source web framework, created by Microsoft, for building modern web apps and services that run on macOS, Linux, Windows, and Docker. It can be used to build web frontends using Razor."
Angular,Hold,Languages and Frameworks,false,A component-based framework for building scalable SPA&apos;s..
Azure Core,Adopt,Platforms,false,..excerpt also used in technology radar...
Azure API Management,Adopt,Platforms,false,"Azure API Management is a reliable, secure and scalable way to publish, consume and manage APIs running on Microsoft Azure platform. Azure API Management provides all essential tools required for an end-to-end management of APIs. Use it to publish APIs to external, partner, and employee developers securely and at scale."
Azure Active Directory,Adopt,Platforms,false,Azure Active Directory (Azure AD) is a cloud-based identity and access management service.
Azure App Configuration,Adopt,Platforms,false,Azure App Configuration provides a service to centrally manage application settings and feature flags.
Azure App Service,Adopt,Platforms,false,"Azure Web Apps is a cloud computing based platform for hosting websites, created and operated by Microsoft. It is a platform as a service which allows publishing Web apps running on multiple frameworks and written in different programming languages."
Azure Application Insights,Adopt,Platforms,false,"Application Insights can monitor Azure cloud service apps for availability, performance, failures, and usage by combining data from Application Insights SDKs with Azure Diagnostics data from your cloud services."
Azure-CDN,Adopt,Platforms,false,Azure Content Delivery Network (CDN) is CDN service provided by Azure Cloud Platform that enables in storing and accessing data on different content servers and locations &#x2013; used by online or cloud services.
Azure Functions,Adopt,Platforms,false,"Azure Functions is a cloud service available on-demand that provides all the continually updated infrastructure and resources needed to run your applications. You focus on the pieces of code that matter most to you, and Functions handles the rest. Functions provides serverless compute for Azure."
Azure Key Vault,Adopt,Platforms,false,"Azure Key Vault is a cloud service for securely storing and accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, certificates, or cryptographic keys."
Azure Storage,Adopt,Platforms,false,"The Azure Storage platform is Microsoft&apos;s cloud storage solution for modern data storage scenarios. Azure Storage offers highly available, massively scalable, durable, and secure storage for a variety of data objects in the cloud."
Azure Static Web Apps,Trial,Platforms,false,Azure Static Web Apps is a service that automatically builds and deploys full stack web apps to Azure from a code repository. The workflow of Azure Static Web Apps is tailored to a developer&apos;s daily workflow. Apps are built and deployed based off code changes.
Build Automation,Adopt,Tools,false,Build Automation is tooling to automate the build and deployment process.
Build Tooling,Adopt,Tools,false,Any codebase containing TypeScript and SASS need build tooling to do transpilation and bundling.
